Date,Temperature
2024-01-01,20.5
2024-01-02,20.8
2024-01-03,21.0
2024-01-04,20.9
2024-01-05,21.2
2024-01-06,21.5
2024-01-07,21.3
2024-01-08,21.7
2024-01-09,22.0
2024-01-10,22.2
2024-01-11,22.1
2024-01-12,22.4
2024-01-13,22.8
2024-01-14,23.0
2024-01-15,22.9
2024-01-16,23.3
2024-01-17,23.5
2024-01-18,23.8
2024-01-19,24.0
2024-01-20,23.7
2024-01-21,24.1
2024-01-22,24.3
2024-01-23,24.5
2024-01-24,24.2
2024-01-25,24.6
2024-01-26,24.9
2024-01-27,25.1
2024-01-28,25.3
2024-01-29,25.0
2024-01-30,25.4
2024-01-31,25.6
2024-02-01,25.8
2024-02-02,26.0
2024-02-03,25.9
2024-02-04,26.2
2024-02-05,26.5
2024-02-06,26.7
2024-02-07,26.4
2024-02-08,26.8
2024-02-09,27.0
2024-02-10,27.3
2024-02-11,27.5
2024-02-12,27.2
2024-02-13,27.6
2024-02-14,27.9
2024-02-15,28.1
2024-02-16,28.3
2024-02-17,28.0
2024-02-18,28.4
2024-02-19,28.6
2024-02-20,28.9
2024-02-21,29.1
2024-02-22,28.8
2024-02-23,29.2
2024-02-24,29.5
2024-02-25,29.7
2024-02-26,29.9
2024-02-27,30.1
2024-02-28,30.0
2024-02-29,30.3
